192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:21, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/default/index, HTTP/1.1, 200, 0.033000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:25, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000000
